pair_id,repo_id,pdf_id,repo_url,pdf_url,component,manufacturer,Category,Component_Class,Component_Name,file_exists,file_size_bytes,gs_path,TBC 
A1Pair_6,AR11,P881,https://github.com/ARM-software/CMSIS-Driver,https://ww1.microchip.com/downloads/en/DeviceDoc/00003919.pdf,LAN8671,Microchip Technology,Network,Ethernet,Automotive Ethernet,TRUE,2187699,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_6_mapping.txt,NA
A1Pair_22,AR31,P379,https://github.com/ArduPilot/ardupilot,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/hawk-spec-web.pdf,Hawk R2,LOCOSYS Technology Inc.,Sensor,GPS,GNSS Receiver,TRUE,33790016,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_22_mapping.txt,NA
A1Pair_42,AR61,P154,https://github.com/CANopenNode/CANopenNode,https://www.dytran.com/wp-content/uploads/2022/07/PS4400B3.pdf,4400B,"Dytran Instruments, Inc.",Sensor,Accelerometer,Linear Acceleration Sensor,TRUE,1072348,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_42_mapping.txt,PDF
A1Pair_68,AR103,P52,https://github.com/EIPStackGroup/OpENer,https://literature.rockwellautomation.com/idc/groups/literature/documents/td/1443-td001_-en-p.pdf,1443-ACC-GP-S,Rockwell Automation Inc.,Sensor,Accelerometer,Linear Acceleration Sensor,TRUE,1052679,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_68_mapping.txt,NA
A1Pair_111,AR172,P659,https://github.com/Infineon/illd_release_tc3x,https://www.infineon.com/assets/row/public/documents/10/44/infineon-tc33x-tc32x-aa-step-usermanual-en.pdf,AURIX TC3xx series,Infineon Technologies,Network,CAN-FD,CAN-FD Controller,TRUE,130524236,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_111_mapping.txt,NA
A1Pair_169,AR256,P1468,https://github.com/Lora-net/LoRaMac-node,https://www.ti.com/lit/an/slva134/slva134.pdf,TPS65021,Texas Instruments,Power,PMIC,Power Management IC,TRUE,37177544,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_169_mapping.txt,NA
A1Pair_180,AR271,P856,https://github.com/MarvellEmbeddedProcessors/linux-marvell,https://ww1.microchip.com/downloads/en/DeviceDoc/00002056A.pdf,KSZ84xx,Microchip Technology,Network,Ethernet,Automotive Ethernet,TRUE,438985696,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_180_mapping.txt,NA
A1Pair_187,AR282,P938,https://github.com/Microchip-MPLAB-Harmony/bsp,https://ww1.microchip.com/downloads/en/DeviceDoc/SAMA5D27-SOM1-Kit1-Users-Guide-DS50002667C.pdf,MIC2800,Microchip Technology,Power,PMIC,Power Management IC,TRUE,760645,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_187_mapping.txt,NA
A1Pair_188,AR283,P755,https://github.com/Microchip-MPLAB-Harmony/core,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/ATA663431.54-Data-Sheet-50002820.pdf,ATA663454-GDQW,Microchip Technology Inc.,Network,LIN,LIN Transceiver,TRUE,2640194,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_188_mapping.txt,NA
A1Pair_191,AR286,P846,https://github.com/Microchip-MPLAB-Harmony/net,https://ww1.microchip.com/downloads/en/DeviceDoc/50002394A.pdf,LAN935x,Microchip Technology,Network,Ethernet,Automotive Ethernet,TRUE,12508571,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_191_mapping.txt,NA
A1Pair_228,AR337,P3251,https://github.com/Oreoluwa-IVT/Texas-Instrument-MSP430FR,https://www.ti.com/lit/ug/slau367p/slau367p.pdf,MSP430FR6041,Texas Instruments Incorporated,Sensor,Ultrasonic,Distance Sensor,TRUE,3148307,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_228_mapping.txt,NA
A1Pair_231,AR341,P3240,https://github.com/PX4/PX4-Autopilot,https://www.ti.com/lit/an/slaa732a/slaa732a.pdf,PGA460,Texas Instruments Incorporated,Sensor,Ultrasonic,Distance Sensor,TRUE,31287496,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_231_mapping.txt,NA
A1Pair_236,AR350,P734,https://github.com/PersonalTransport/LIN,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/20002018H.pdf,MCP2021P-330E/MD,Microchip Technology Inc.,Network,LIN,LIN Transceiver,TRUE,906520,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_236_mapping.txt,NA
A1Pair_278,AR417,P675,https://github.com/STMicroelectronics/OpenOCD,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP25XXFD-CAN-FD-Controller-Module-Family-Reference-Manual-DS20005678E.pdf,MCP2518FD,Microchip Technology,Network,CAN-FD,CAN-FD Controller,TRUE,10596801,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_278_mapping.txt,NA
A1Pair_280,AR419,P581,https://github.com/STMicroelectronics/STM32CubeF0,https://www.st.com/resource/en/datasheet/stm32f051c4.pdf,STM32F0xx (with integrated CAN controller),STMicroelectronics,Network,CAN,CAN Controller,TRUE,50252144,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_280_mapping.txt,NA
A1Pair_284,AR423,P588,https://github.com/STMicroelectronics/STM32CubeF4,https://www.st.com/resource/en/application_note/an3154-how-to-use-can-protocol-in-bootloader-on-stm32-mcus-stmicroelectronics.pdf,STM32F4xx (with integrated CAN controller),STMicroelectronics,Network,CAN,CAN Controller,TRUE,353405221,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_284_mapping.txt,NA
A1Pair_285,AR424,P591,https://github.com/STMicroelectronics/STM32CubeF7,https://www.st.com/resource/en/reference_manual/DM00224583.pdf,STM32F7xx (with integrated CAN controller),STMicroelectronics,Network,CAN,CAN Controller,TRUE,268127090,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_285_mapping.txt,NA
A1Pair_289,AR428,P665,https://github.com/STMicroelectronics/STM32CubeH7,https://www.st.com/resource/en/user_manual/um2411-discovery-kit-with-stm32h747xi-mcu-stmicroelectronics.pdf,STM32H7 series,STMicroelectronics,Network,CAN-FD,CAN-FD Controller,TRUE,293056037,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_289_mapping.txt,NA
A1Pair_290,AR429,P190,https://github.com/STMicroelectronics/STM32CubeL4,https://www.st.com/resource/en/datasheet/vl53l0x.pdf,VL53L0X,STMicroelectronics,Sensor,ToF,Time-of-Flight Sensor,TRUE,145180723,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_290_mapping.txt,NA
A1Pair_292,AR431,P595,https://github.com/STMicroelectronics/STM32CubeMP1,https://www.st.com/resource/en/application_note/an5260-stm32mp151153157-mpu-lines-and-stpmic1-integration-on-a-battery-powered-application-stmicroelectronics.pdf,STM32MP1xx (with integrated CAN interface),STMicroelectronics,Network,CAN,CAN Controller,TRUE,123073517,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_292_mapping.txt,NA
A1Pair_296,AR435,P230,https://github.com/STMicroelectronics/STM32Cube_MCU_Overall_Offer,https://www.st.com/resource/en/data_brief/vb56g4a.pdf,VB56G4A,STMicroelectronics,Sensor,ISP,Image Signal Processor,TRUE,4072,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_296_mapping.txt,NA
A1Pair_297,AR436,P596,https://github.com/STMicroelectronics/STM32MPU_EmbSW_Overall_Offer,https://www.st.com/resource/en/application_note/an5714-integrating-the-stsafe-tpm-trusted-platform-modules-with-linux-stmicroelectronics.pdf,STM32MP1xx (with integrated CAN interface),STMicroelectronics,Network,CAN,CAN Controller,TRUE,31626,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_297_mapping.txt,NA
A1Pair_330,AR477,P667,https://github.com/STMicroelectronics/meta-st-stm32mp,https://www.st.com/resource/en/application_note/an5438-stm32mp1-series-lifetime-estimates-stmicroelectronics.pdf,STM32MP1 series,STMicroelectronics,Network,CAN-FD,CAN-FD Controller,TRUE,567262,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_330_mapping.txt,NA
A1Pair_342,AR492,P582,https://github.com/STMicroelectronics/stm32f0xx-hal-driver,https://www.st.com/resource/en/application_note/an5348-introduction-to-fdcan-peripherals-for-stm32-product-classes-stmicroelectronics.pdf,STM32F0xx (with integrated CAN controller),STMicroelectronics,Network,CAN,CAN Controller,TRUE,5605434,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_342_mapping.txt,NA
A1Pair_344,AR495,P589,https://github.com/STMicroelectronics/stm32f4xx-hal-driver,https://www.st.com/resource/en/datasheet/dm00037051.pdf,STM32F4xx (with integrated CAN controller),STMicroelectronics,Network,CAN,CAN Controller,TRUE,10384967,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_344_mapping.txt,NA
A1Pair_345,AR496,P590,https://github.com/STMicroelectronics/stm32f7xx-hal-driver,https://www.st.com/resource/en/reference_manual/DM00124865.pdf,STM32F7xx (with integrated CAN controller),STMicroelectronics,Network,CAN,CAN Controller,TRUE,14742027,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_345_mapping.txt,NA
A1Pair_347,AR498,P683,https://github.com/STMicroelectronics/stm32g4xx-hal-driver,https://www.st.com/resource/en/user_manual/um3150-stm32h5-series-safety-manual-stmicroelectronics.pdf,STM32H5 series,STMicroelectronics,Network,CAN-FD,CAN-FD Controller,TRUE,10484597,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_347_mapping.txt,NA
A1Pair_348,AR499,P664,https://github.com/STMicroelectronics/stm32h7xx-hal-driver,https://www.st.com/resource/en/user_manual/um2204-getting-started-with-stm32cubeh7-for-stm32h7-series-mcus-stmicroelectronics.pdf,STM32H7 series,STMicroelectronics,Network,CAN-FD,CAN-FD Controller,TRUE,15062944,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_348_mapping.txt,NA
A1Pair_349,AR500,P594,https://github.com/STMicroelectronics/stm32l5xx-hal-driver,https://www.st.com/resource/en/datasheet/stm32l562ce.pdf,STM32L5xx (with integrated CAN FD interface),STMicroelectronics,Network,CAN,CAN Controller,TRUE,11439180,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_349_mapping.txt,NA
A1Pair_433,AR622,P226,https://github.com/TexasInstruments/mcupsdk-core,https://www.ti.com/lit/an/spracf7f/spracf7f.pdf,DRA829,Texas Instruments,Sensor,ISP,Image Signal Processor,TRUE,156003272,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_433_mapping.txt,NA
A1Pair_434,AR623,P228,https://github.com/TexasInstruments/mcupsdk-core-k3,https://www.ti.com/lit/ds/symlink/am62d-q1.pdf,AM62D-Q1,Texas Instruments,Sensor,ISP,Image Signal Processor,TRUE,135990765,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_434_mapping.txt,NA
A1Pair_438,AR627,P227,https://github.com/TexasInstruments/processor-sdk-doc,https://www.ti.com/lit/ug/spruj09d/spruj09d.pdf,AM62D-Q1,Texas Instruments,Sensor,ISP,Image Signal Processor,TRUE,193682,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_438_mapping.txt,NA
A1Pair_440,AR629,P1069,https://github.com/TexasInstruments/ti-linux-kernel,https://www.ti.com/lit/ug/spruip2/spruip2.pdf,TPS65216,Texas Instruments,Power,PMIC,Power Management IC,TRUE,1402137379,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_440_mapping.txt,NA
A1Pair_442,AR631,P1053,https://github.com/TexasInstruments/ti-u-boot,https://www.ti.com/lit/ug/slvu551i/slvu551i.pdf,TPS65217,Texas Instruments,Power,PMIC,Power Management IC,TRUE,177193473,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_442_mapping.txt,NA
A1Pair_455,AR660,P213,https://github.com/VC-MIPI-modules/vc_mipi_nvidia,https://e2e.ti.com/cfs-file/__key/communityserver-discussions-components-files/138/IMX265LQR_2D00_C_5F00_Data_5F00_Sheet_2800_E_29005F00_E15X06F96.pdf,IMX265,Sony Corporation,Sensor,Camera,CMOS Image Sensor,TRUE,733892,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_455_mapping.txt,NA
A1Pair_471,AR687,P1085,https://github.com/Xilinx/PYNQ,https://www.ti.com/lit/ds/symlink/tps65400-q1.pdf,TPS65400,Texas Instruments,Power,PMIC,Power Management IC,TRUE,3773358,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_471_mapping.txt,NA
A1Pair_472,AR688,P1578,https://github.com/Xilinx/linux-xlnx,https://www.ti.com/lit/ds/symlink/tps65000-q1.pdf,TPS65000,Texas Instruments,Power,PMIC,Power Management IC,TRUE,1403466242,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_472_mapping.txt,NA
A1Pair_535,AR792,P568,https://github.com/apache/nuttx,https://www.nxp.com/docs/en/application-note/AN5408.pdf,S32K1xx (FlexCAN),NXP Semiconductors,Network,CAN,CAN Controller,TRUE,175915203,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_535_mapping.txt,NA
A1Pair_550,AR813,P3253,https://github.com/bakialmaci/MSP430-EXAMPLES,https://www.ti.com/lit/ug/slau445i/slau445i.pdf,MSP430FR60431,Texas Instruments Incorporated,Sensor,Ultrasonic,Distance Sensor,TRUE,779530,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_550_mapping.txt,NA
A1Pair_600,AR881,P3256,https://github.com/chintal/msp430-driverlib,https://www.ti.com/lit/ds/symlink/msp430fr5041.pdf,MSP430FR5041,Texas Instruments Incorporated,Sensor,Ultrasonic,Distance Sensor,TRUE,4179228,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_600_mapping.txt,NA
A1Pair_609,AR898,P1332,https://github.com/coreboot/coreboot,https://www.aosmd.com/res/datasheets/AOZ1334DI-01.pdf,AOZ1334DI,Alpha and Omega Semiconductor,Power,PMIC,Power Management IC,TRUE,117798062,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_609_mapping.txt,NA
A1Pair_633,AR944,P3279,https://github.com/earlephilhower/arduino-pico,https://www.ti.com/lit/ug/slau526b/slau526b.pdf,PGA450-Q1,Texas Instruments Incorporated,Sensor,Ultrasonic,Distance Sensor,TRUE,4688540,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_633_mapping.txt,NA
A1Pair_653,AR974,P883,https://github.com/espressif/esp-eth-drivers,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/ProductBrief/LAN8770-Product-Brief-DS00002550C.pdf,LAN8770R,Microchip Technology,Network,Ethernet,Automotive Ethernet,TRUE,845243,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_653_mapping.txt,NA
A1Pair_747,AR1151,P1680,https://github.com/linux4microchip/linux,https://ww1.microchip.com/downloads/aemDocuments/documents/MSLD/ProductDocuments/DataSheets/PAC194X-Family-Data-Sheet-DS20006543.pdf,PAC1944,Microchip Technology,Power,Battery Monitor,Cell Monitoring IC,TRUE,1401195475,gs://cpt-training-datasets/Automotive_v1/Cleaned_data/A1Pair_747_mapping.txt,NA
