repo,url,stars,forks,open_issues,open_prs,closed_prs,merged_prs,total_closed_prs
intel/gstreamer-media-SDK,https://github.com/01org/gstreamer-media-SDK,92,47,34,6,8,59,67
100askTeam/DShanMCU_ra6m5_lvgl_demo,https://github.com/100askTeam/DShanMCU_ra6m5_lvgl_demo,1,0,0,0,0,0,0
4ms/stm32mp1-baremetal,https://github.com/4ms/stm32mp1-baremetal,201,31,8,2,1,5,6
ARM-software/CMSIS_4,https://github.com/ARM-software/CMSIS,480,391,0,8,3,0,3
ARM-software/CMSIS-Compiler,https://github.com/ARM-software/CMSIS-Compiler,35,19,2,1,5,64,69
ARM-software/CMSIS-DSP,https://github.com/ARM-software/CMSIS-DSP,937,213,37,0,13,80,93
ARM-software/CMSIS-Driver,https://github.com/ARM-software/CMSIS-Driver,209,69,6,0,5,30,35
ARM-software/CMSIS-NN,https://github.com/ARM-software/CMSIS-NN,370,96,3,0,14,127,141
ARM-software/CMSIS-RTX,https://github.com/ARM-software/CMSIS-RTX,129,38,1,0,9,68,77
ARM-software/CMSIS_5,https://github.com/ARM-software/CMSIS_5,1571,1106,190,27,181,553,734
ARM-software/CMSIS_6,https://github.com/ARM-software/CMSIS_6,383,136,30,5,15,184,199
ARM-software/android-nn-driver,https://github.com/ARM-software/android-nn-driver,157,62,4,1,0,0,0
ARM-software/arm-trusted-firmware,https://github.com/ARM-software/arm-trusted-firmware,2170,1537,0,2,426,1546,1972
ARMmbed/mbed-os,https://github.com/ARMmbed/mbed-os,4829,3046,194,15,1729,9251,10980
ARMmbed/mbed-os-example-ble,https://github.com/ARMmbed/mbed-os-example-ble,135,114,6,0,63,225,288
ARMmbed/mbed-os-example-blinky,https://github.com/ARMmbed/mbed-os-example-blinky,41,156,2,2,31,180,211
AfanVibrant/Afan_SAME70_BSP,https://github.com/AfanVibrant/Afan_SAME70_BSP,0,0,0,0,0,0,0
wled/WLED,https://github.com/Aircoookie/WLED,17527,4017,363,129,511,1100,1611
AlSaqr-platform/can_bus,https://github.com/AlSaqr-platform/can_bus,5,1,0,0,0,0,0
